Cell_line,APAF1,BAX,BCL2,BFAR,BID,CASP3,CASP6,CASP8,CASP9,CFLAR,CYCS,DIABLO,FADD,PARP1,TNFRSF10A,TNFRSF10B,XIAP
A549,1.409090909,6.679487179,-4,1.454545455,3.413043478,1.696629213,1.5,1.668965517,-1.635658915,1.583673469,1.144344205,3.291187739,2.371727749,1.017382413,2.248120301,3.44,1.621621622
AN3-CA,1.666666667,3.574358974,3.875,1.61038961,1.765217391,3.269662921,2.839285714,1.365517241,-2.370786517,-1.467065868,1.738376128,1.590038314,1.078534031,2.023517382,-133,1.556,1.108108108
CAPAN-2,-1.534883721,3.797435897,-3.2,2.012987013,2.47826087,2.471910112,9.142857143,3.289655172,-2.048543689,2.804081633,1.349757113,-1.191780822,2.209424084,-1.107587769,2.112781955,1.26,2.135135135
Daudi,1.136363636,3.933333333,-8,1.525974026,-1.703703704,3.393258427,-2.545454545,-5.8,-2.048543689,-5.833333333,1.882720333,1.624521073,1.670157068,4.436605317,2.30075188,-1.612903226,1.418918919
EFO-21,-1.466666667,1.302564103,-1.142857143,3.428571429,1.682608696,1.483146067,3.035714286,1.917241379,-1.37012987,1.889795918,-1.021985816,1.639846743,2.356020942,1.903885481,2.962406015,2.152,3.081081081
HDLM-2,1.045454545,3.966666667,29.875,1.246753247,1.452173913,11.37078652,7.660714286,1.331034483,-4.489361702,6.085714286,-1.369771863,1.869731801,2.031413613,2.430470348,-1.343434343,-1.237623762,1.918918919
HL-60,2.272727273,1.958974359,23.375,1.681818182,3.17826087,4.95505618,3.642857143,1.331034483,-2.6375,-1.269430052,4.032616239,2.149425287,1.068062827,3.204498978,-1.371134021,-3.787878788,1.945945946
HeLa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
K-562,1.227272727,2.079487179,-1.777777778,1.831168831,2.634782609,5.662921348,5.339285714,1.737931034,-1.004761905,4.016326531,3.650242887,2.586206897,1.57591623,3.472392638,2.383458647,-1.811594203,1.905405405
MCF7,-4.4,2.448717949,-1.333333333,1.38961039,7.295652174,1.123595506,2.232142857,-1.45,-5.552631579,-1.788321168,-1.227427598,2.126436782,1.77486911,-1.275097784,-1.198198198,-2.717391304,1.689189189
MOLT-4,1.227272727,3.228205128,5,1.207792208,5.530434783,7.95505618,9.571428571,1.765517241,-7.535714286,-2.692307692,2.240111034,1.785440613,1.32460733,1.044989775,-44.33333333,-35.71428571,1.108108108
PC-3,-1.2,1.943589744,-1.066666667,-1.149253731,1.917391304,2.179775281,2.767857143,1.517241379,-2.890410959,1.224489796,2.198473282,3.137931034,3.97382199,2.054192229,1.398496241,1.26,1.297297297
REH,1.727272727,2.546153846,25.125,2.292207792,2.865217391,6.471910112,3.732142857,1.489655172,-3.403225806,-2.289719626,1.767522554,1.819923372,1.157068063,3.540899796,-66.5,-1.388888889,1.324324324
RPMI-8226,-2.869565217,1.471794872,14.3125,1.538961039,-1.16751269,3.191011236,1.964285714,2.717241379,-1.818965517,1.302040816,1.752949341,1.750957854,1.560209424,3.990797546,1.609022556,-2.631578947,1.459459459
RT4,1.484848485,3.458974359,3.5,1.214285714,4.926086957,4.404494382,3.857142857,1.931034483,-4.688888889,1.416326531,1.771686329,2.291187739,-1.091428571,1.200408998,2.37593985,1.812,2.432432432
SiHa,2.166666667,2.694871795,-5.333333333,2.402597403,-2,4.606741573,3.214285714,1.303448276,-1.953703704,1.546938776,1.19777932,2.697318008,2.083769634,1.916155419,-1.357142857,1.832,3.283783784
THP-1,2.848484848,2.956410256,16.5,1.12987013,3.72173913,2.696629213,1.107142857,-1.141732283,-4.395833333,1.228571429,2.017349063,1.275862069,-1.005263158,1.6799591,-2.14516129,-3.521126761,-1.254237288
WM-115,1.757575758,6.956410256,4,2.045454545,1.417391304,4.494382022,1.428571429,1.117241379,-4.586956522,1.448979592,4.052047189,2.214559387,2.492146597,2.204498978,-26.6,3.84,1.527027027
