DATASET,COSMIC_ID,DRUG_ID,MIN_CONC,MAX_CONC,RMSE_PUBLISHED,Z_SCORE_PUBLISHED,IC50_PUBLISHED,AUC_PUBLISHED,ARXSPAN_ID,DRUG_NAME,BROAD_ID,upper_limit,ec50,slope,lower_limit,auc,log2.ic50,mse,R2
GDSC1,683665,1,0.007813,2,0.022518,-0.192056,10.97739326,0.982116,ACH-002270,ERLOTINIB,BRD-K70401845,0.992788365,2.839376274,-5.670992806,0.5143886,0.990834292,,3.43E-05,0.904675299
GDSC1,684055,1,0.007813,2,0.031831,0.505823,23.13399082,0.98482,ACH-002104,ERLOTINIB,BRD-K70401845,1.006404608,0.028648754,-0.186376516,0.990053906,0.997137641,,5.71E-05,0.0289033
GDSC1,684057,1,0.007813,2,0.026047,1.28075,52.93527813,0.985696,ACH-002106,ERLOTINIB,BRD-K70401845,,,,,,,,
GDSC1,684059,1,0.007813,2,0.110056,0.086028,14.7742234,0.972701,ACH-002108,ERLOTINIB,BRD-K70401845,,,,,,,,
GDSC1,684062,1,0.007813,2,0.08701,-0.114395,11.92688386,0.944463,ACH-002111,ERLOTINIB,BRD-K70401845,0.989579844,0.075803753,-12.22277678,0.894026985,0.933184703,,0.000622504,0.777092998
GDSC1,684072,1,0.007813,2,0.016288,-0.530674,7.645605207,0.950763,ACH-000087,ERLOTINIB,BRD-K70401845,0.998887293,0.967139307,-2.49677619,0.816720826,0.973032187,,1.76E-05,0.993758411
GDSC1,684681,1,0.007813,2,0.03207,1.29759,53.89609358,0.98135,ACH-000327,ERLOTINIB,BRD-K70401845,,,,,,,,
GDSC1,687448,1,0.007813,2,0.18025,0.342749,19.43564983,0.954785,ACH-000644,ERLOTINIB,BRD-K70401845,,,,,,,,
GDSC1,687562,1,0.007813,2,0.041884,-0.099233,12.1216123,0.980213,ACH-000137,ERLOTINIB,BRD-K70401845,,,,,,,,
GDSC1,687568,1,0.007813,2,0.069284,0.940093,36.7884891,0.984637,ACH-000738,ERLOTINIB,BRD-K70401845,,,,,,,,
GDSC1,687590,1,0.007813,2,0.030786,1.195692,48.33770993,0.982624,ACH-000075,ERLOTINIB,BRD-K70401845,,,,,,,,
GDSC1,687600,1,0.007813,2,0.026566,1.025987,40.32352316,0.986095,ACH-002174,ERLOTINIB,BRD-K70401845,,,,,,,,
GDSC1,687799,1,0.007813,2,0.043985,-5.365666,0.043693978,0.349947,ACH-000766,ERLOTINIB,BRD-K70401845,0.939254579,0.093510339,-0.698965535,0.047187841,0.458336579,-3.481481107,0.000693379,0.987013071
